gvkey,tic,fyear,cluster,pca_1,pca_2,ROA,ROE,RD_Sales,Debt_Assets,Market_Book,WC_TA,RE_TA,ROA_vol,ROE_vol
2113,NICH,2002,0,0.8395756941861683,0.7762477083352827,0.01104446348662287,0.01863154513331192,0.0,0.4072169856231553,1.0908769675554129,0.5808816528610873,0.45044273064838614,0.08920751658977304,0.12662004323401407
2113,NICH,2003,0,0.689398118469389,1.494597130580214,-0.1416678837447057,-0.19779771615008157,0.0,0.2837739155834672,1.1939233278955956,0.7097125360554957,0.4978822842120636,0.1298445882093416,0.18204276830700747
2113,NICH,2004,0,1.232744690248032,1.1328808387526235,0.07307793230123329,0.10199597143380333,0.0,0.28352138546313305,1.1555575901849477,0.7097125360554957,0.520335869850433,0.11051770428255028,0.15474037817541864
2113,NICH,2005,0,-0.0185644336492942,0.520998341676312,-0.11489524538410027,-0.28192488262910803,0.0,0.5924614943078542,1.3771596244131457,0.41528747727925003,0.2645173634363341,0.11702311395841568,0.20180388889518833
2113,NICH,2006,0,-0.21132793446001247,-0.5295451450908099,0.015202702702702704,0.05587392550143267,0.0,0.6992593555093555,2.305885864374403,0.11811330561330562,0.1050220893970894,0.09627126070519101,0.20961492475481353
2113,NICH,2007,0,-0.02956186515436545,-0.2588782306425612,-0.02456628434949214,-0.07012286484866646,0.0,0.6265189890029133,1.1745729697332934,0.18894517204272854,0.060287131571349836,0.06666629536873175,0.1707060439707233
2184,BBY,2001,0,0.30308851476102483,-0.7331057156935475,0.07728813559322034,0.2261007536691789,0.0,0.6581694915254237,5.688014597381992,0.11945762711864406,0.2424406779661017,0.021095606906434586,0.05502122109244885
2184,BBY,2002,0,0.11865304409707761,-0.5075786503781258,0.01291922223672191,0.03626373626373627,0.0,0.6437426595328201,3.4284071794871798,0.1401539866892862,0.2505546130758189,0.03852939604876674,0.1071425902597978
2184,BBY,2012,5,-0.30445609827083603,-0.6652380824088794,-0.026270328230178115,-0.14407056517477948,0.0,0.778697801870495,1.7969185886965044,0.07368797283612319,0.17710132840888784,0.05228692204550492,0.1851059870936051
2184,BBY,2013,0,0.2087231395420578,-0.5133859750091024,0.037964747020623704,0.13346713497240342,0.0,0.7153357596517519,2.047796914199699,0.21758367230428888,0.2605437807749946,0.03237603040824836,0.14082858137869914
2184,BBY,2014,0,0.3401325025425688,-0.429012501415265,0.08082066072364971,0.24684684684684685,0.0,0.6722600943890928,2.4768115315315313,0.25904562139486104,0.29647351861562665,0.05389999095068921,0.20112125575110382
2184,BBY,2015,0,0.377353451608111,-0.5428063449968511,0.06635106146904357,0.20488807674737322,0.0,0.676159479251424,2.065588739150297,0.2190250758192174,0.32147348176640284,0.02180130535034805,0.057324294409113005
2184,BBY,2016,0,0.5312978306101024,-0.530159537388582,0.08862586605080831,0.2607772350817583,0.0,0.6601472286374134,2.9412886387768107,0.24494803695150116,0.33761547344110854,0.011302340848572132,0.029092359031086562
2184,BBY,2017,0,0.31938836121232267,-0.7766936436617303,0.07663422484481569,0.2768549280177187,0.0,0.7231971798605257,5.724004235880399,0.15418806038776917,0.27465706184381944,0.011148316965517645,0.03777414881290527
2444,BC,2002,0,0.053287305391663105,-0.027061291404263135,0.02301077162396173,0.07115628970775097,0.02769471160322207,0.6766164773561094,1.625156561989472,0.19212820287047638,0.28378973320419126,0.03044013148670904,0.093637763333975
2444,BC,2003,0,0.1983219636266978,-0.07179417090887977,0.037529493407356,0.10219198790627361,0.028628866229079373,0.6327550312283137,2.216551700680272,0.1702706453851492,0.3136155447605829,0.007684087997375065,0.017247766917891233
2444,BC,2004,0,0.29574132226712896,-0.07274252603654778,0.06207436039020799,0.1575658471062314,0.025070277092536283,0.606041781704399,2.799179758219938,0.19439076016933554,0.31131511135652495,0.019745074258018153,0.04377230946456109
2444,BC,2005,0,0.3846439712146846,-0.0653707637011044,0.08339283782321756,0.1947645037396402,0.024426888146122417,0.571827328789354,1.9655415403274712,0.2011900897976847,0.36126798658444226,0.02295057855579962,0.046582677441558897
2444,BC,2006,0,0.2127998121198119,-0.035562908225906374,0.03008785924544413,0.07153542045090287,0.023336275375110325,0.5793991416309012,1.54859349289454,0.1764375435363908,0.3891198346178909,0.0268298169850964,0.06320651513624562
2444,BC,2007,0,0.2096935890526111,0.02352453253201575,0.02556349642660802,0.05895715568704104,0.02371632106079842,0.5664055341762873,0.7876561360874849,0.18739692138537656,0.42049202858713575,0.032161372603531115,0.07504138358014216
2444,BC,2008,5,-1.160311761809335,0.9038013386550781,-0.24445547318465213,-1.0797369502671599,0.025951961263193664,0.7735971959428022,0.5061056309083436,0.22820186730357642,0.20583765005118024,0.15721787175268667,0.661086296845086
2444,BC,2009,5,-1.4991532111250343,1.575823242611595,-0.2163578652100096,-2.7874465049928676,0.03187925507006232,0.9223813390418543,5.334392296718972,0.20377205285303018,0.04816564553037573,0.14845070154765097,1.4326496425486295
2444,BC,2010,5,-0.7266815547009506,0.7624980509424943,-0.04129947722180732,-1.571022727272727,0.02703258601945171,0.9737117251680358,23.600953125,0.21814787154592982,-0.009410007468259896,0.11008123778569176,0.8791397732056393
2444,BC,2011,6,-0.5759772357719192,-1.1686998083367586,0.028829190056134726,2.3268608414239487,0.02612059765208111,0.9876102646351242,47.606009615384615,0.17963111467522053,-0.03331996792301523,0.12628021833030142,2.6717448342400854
2444,BC,2012,0,-0.3836020580675783,-0.517035990372277,0.020625360943816517,0.6435006435006435,0.028324725629438347,0.9679481890933092,33.5568314028314,0.1744493028628001,-0.021409124659681547,0.03834061894849705,1.9549642635595403
