ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
SWHC,GICS_25,Carhart,0.013542,1.026931,-0.030279,-1.361448,-0.556704
HOG,GICS_25,Carhart,-0.001617,1.258259,0.645798,0.961479,-0.352737
INFI,GICS_35,FF3,-0.007107,1.389872,0.8884,-0.971811,
EDU,GICS_25,Carhart,0.016495,1.047402,0.794573,-0.328124,0.074478
EHTH,GICS_35,FF3,0.013081,0.610679,0.562342,-0.512842,
UA,GICS_25,Carhart,0.012058,1.017375,0.662586,-0.228659,-0.295077
EBS,GICS_35,FF3,0.018441,0.366385,0.532246,0.173078,
CPRX,GICS_35,FF3,0.025498,1.128079,-0.463532,0.283107,
AKRX,GICS_35,FF3,-0.006665,0.693929,1.449713,0.212193,
AEO,GICS_25,Carhart,-0.002857,0.937265,0.593871,-0.042457,-0.249863
SNTA,GICS_35,FF3,-0.008479,1.687369,0.756134,0.964968,
HALO,GICS_35,FF3,0.007785,1.166012,2.497523,-0.331582,
M,GICS_25,Carhart,-0.001065,1.056186,1.038559,0.905649,-0.610664
BIOD,GICS_35,FF3,-0.025114,1.722606,1.27817,-0.803045,
FOLD,GICS_35,FF3,0.006747,1.029645,2.06967,-1.180389,
PODD,GICS_35,FF3,0.01358,1.23788,0.650877,-0.633988,
OPK,GICS_35,FF3,0.001271,1.21786,1.554599,-0.241346,
LULU,GICS_25,Carhart,0.015884,1.513942,0.459044,-0.090956,-0.266158
ULTA,GICS_25,Carhart,0.010943,1.103725,0.633562,0.06141,-0.389135
ENSG,GICS_35,FF3,0.016052,0.575792,1.455097,-0.011337,
TNDM,GICS_35,FF3,-0.004268,0.736506,1.715295,-1.919439,
MRNA,GICS_35,FF3,-0.017226,1.956791,0.537128,-0.813334,
CLDX,GICS_35,FF3,-0.010667,2.138349,4.543276,-2.194698,
AEN,GICS_35,FF3,0.089937,0.970981,1.397745,2.462867,
WAC,GICS_35,FF3,-0.006281,0.361183,0.582954,2.153396,
XRS,GICS_25,Carhart,0.021284,0.51515,0.028774,-0.181906,-0.040635
TSLA,GICS_25,Carhart,0.032378,1.371659,0.701624,-1.06375,-0.290344
ADUS,GICS_35,FF3,0.027692,-0.007227,1.469878,0.257929,
CBPO,GICS_35,FF3,0.012074,0.973593,0.221296,-0.034641,
IRWD,GICS_35,FF3,-0.009132,1.001939,1.875306,-0.464524,
AVEO,GICS_35,FF3,-0.012944,1.034861,1.278146,-1.149192,
FICO,GICS_45,CAPM,0.013566,1.107616,,,
NXPI,GICS_45,CAPM,0.005761,1.76473,,,
MCRO,GICS_45,CAPM,-0.00237,0.301934,,,
FTNT,GICS_45,CAPM,0.012275,1.221631,,,
ZGNX,GICS_35,FF3,0.013562,0.916314,3.32428,0.191138,
ACRX,GICS_35,FF3,0.003432,1.034891,2.551482,-0.219924,
HZNP,GICS_35,FF3,0.016038,1.073549,2.339343,-1.429593,
DLPH,GICS_25,Carhart,0.014837,1.096914,0.447182,-0.900637,-0.684598
GRPN,GICS_25,Carhart,-0.022945,1.725508,0.706165,-1.106868,-1.333161
ACHC,GICS_35,FF3,0.012186,0.996172,1.454993,0.356172,
CLVS,GICS_35,FF3,0.017454,1.616139,2.63295,-0.881171,
SYN,GICS_35,FF3,-0.054613,1.806294,1.275113,-1.687003,
IQNT,GICS_35,FF3,0.030296,0.611057,1.674904,1.22263,
CCXI,GICS_35,FF3,0.027323,1.265782,2.28399,-1.50689,
SUPN,GICS_35,FF3,0.007495,1.17816,1.321465,-0.596234,
TSRO,GICS_35,FF3,0.035035,0.185493,1.123195,-1.332488,
SRPT,GICS_35,FF3,0.055181,1.132971,2.556182,-1.521085,
SHPG,GICS_35,FF3,0.003183,0.940889,0.142698,-0.371828,
PBYI,GICS_35,FF3,0.014511,1.074426,0.363108,-0.972496,
PRTA,GICS_35,FF3,0.00383,1.202323,2.42732,-1.038331,
RDHL,GICS_35,FF3,-0.009828,1.241516,1.040769,-0.904347,
ACT,GICS_35,FF3,0.02953,0.936395,-0.017168,-1.417487,
NCLH,GICS_25,Carhart,-0.014069,2.232706,-0.044113,0.395463,-0.005892
ABBV,GICS_35,FF3,0.00612,0.934693,0.072987,0.076618,
ZTS,GICS_35,FF3,0.007074,0.760966,-0.113929,-0.417624,
IMMY,GICS_35,FF3,0.031847,-1.054476,0.721365,-1.444222,
TXMD,GICS_35,FF3,-0.009729,1.635857,0.93735,-0.010818,
CMRX,GICS_35,FF3,-0.003644,1.196696,2.636922,0.352891,
TGTX,GICS_35,FF3,0.009582,1.887303,2.268232,-2.620274,
PTCT,GICS_35,FF3,0.026156,0.818818,1.941676,-0.660313,
ONVO,GICS_35,FF3,-0.020752,0.903953,2.489173,-1.14119,
AGIO,GICS_35,FF3,-0.00118,1.476934,1.366566,-0.479394,
MRTX,GICS_35,FF3,0.057103,0.840892,3.205872,0.194152,
FPRX,GICS_35,FF3,0.003438,3.796213,2.910699,0.044789,
XLRN,GICS_35,FF3,0.013013,0.693326,1.386465,-2.073113,
BNFT,GICS_45,CAPM,-0.020772,1.689082,,,
BURL,GICS_25,Carhart,0.025193,0.65486,0.748505,0.422822,0.192155
AERI,GICS_35,FF3,0.017214,0.422907,2.971013,-0.802512,
FATE,GICS_35,FF3,0.034459,1.265875,1.915052,-0.393076,
VCYT,GICS_35,FF3,0.021583,0.962041,0.974732,0.113042,
TCS,GICS_25,Carhart,-0.012866,1.201867,2.41698,-0.511392,0.177312
TRCH,GICS_45,CAPM,-0.000623,1.842238,,,
CARA,GICS_35,FF3,-0.007705,1.540561,1.505897,-1.927295,
