gvkey,tic,gsector,fyear,ROA,ROE,ROA_vol,ROE_vol,RD_Sales,Debt_Assets,Market_Book,WC_TA,CapEx_Sales,cluster,pca_1,pca_2
1117,BKTI,45,2002,-0.28243621655258244,-0.745279146141215,0.14880122194634143,0.39035241896676537,0.11672299411691076,0.6210329807093964,0.8589080459770114,0.4460174237710019,0.009826010764801602,4,0.12533169471073513,-0.020444456104555586
1117,BKTI,45,2003,0.07097882083571838,0.14502923976608187,0.18829674719294165,0.48173765742530755,0.07375304136253041,0.5105895821408128,2.3497410192147035,0.4311881592934827,0.008617193836171938,4,0.6924534174401639,0.6162945680263013
1117,BKTI,45,2004,0.2585898062204853,0.45130056147587944,0.341285747908707,0.6215912565343529,0.08970759101471727,0.11369522165236377,1.6594648791108055,0.5560859188544153,0.015975987606506585,4,1.0366907745734748,0.44810947227510156
1117,BKTI,45,2005,0.2585898062204853,0.36997627435473435,0.1734590084573377,0.15864894712743252,0.08478558154212981,0.10599048720915286,3.451610468042275,0.6052513176500836,0.018058136680809286,4,1.4309378003282418,0.2035894456471925
1117,BKTI,45,2006,0.09706565456296382,0.10609578650815764,0.15872914164841065,0.18046832048978634,0.09489905994760364,0.08511301195264262,2.478313364911303,0.7250042485696483,0.006903991370010788,4,1.321270640903201,-0.037324248692835287
1117,BKTI,45,2007,0.06123735279482501,0.06641721234798878,0.1463679696852454,0.16500272989658224,0.10817022538552788,0.07798971637087411,1.5182197596603584,0.684491623818212,0.03195432977461447,4,1.1896402035559224,-0.1849602403153041
1117,BKTI,45,2008,-0.05309907909346221,-0.0619570187471422,0.07842824119180457,0.08784083884202741,0.23608865710560625,0.142969107177846,0.37814738606919673,0.5431715759911174,0.022529335071707953,4,0.6301530064711663,-0.3980313656137585
1117,BKTI,45,2009,0.0752044810795328,0.08244365361803084,0.0703914103217761,0.07915000969526428,0.12726428239665583,0.08780751726552305,1.4697578675598353,0.5664364596925623,0.012755010897138161,4,1.2267405719869409,0.03029890968575101
1117,BKTI,45,2010,-0.018969878132904117,-0.023247622402254316,0.06645225835683932,0.07474469587836553,0.18721584341527317,0.18400781788916992,0.8565058119056005,0.5674867785697861,0.0179163134776913,4,0.8804514283857453,-0.16462113116702914
1117,BKTI,45,2011,-0.015480265017113071,-0.017563860486657878,0.05339274374448311,0.059448091998691235,0.18241785595751744,0.11862969824473263,0.5297979977911575,0.6112663673187426,0.008919681380683704,4,1.0085961271888493,-0.15407886859906544
1117,BKTI,45,2012,0.060806831566548876,0.06841372912801484,0.04508551488622071,0.051358631909703,0.13297795184218159,0.11118963486454651,0.753896103896104,0.6960247349823322,0.013598781549173194,4,1.3285131174910165,-0.054297393268975896
1117,BKTI,45,2013,0.03356552920083472,0.03634627625716104,0.038659409355323,0.043448763490865676,0.1425082337268253,0.07650706874761191,1.4575079567154676,0.7543132586779531,0.012507863671687082,4,1.3702602430694588,-0.22128078844582139
1117,BKTI,45,2014,0.04388146866381874,0.04883699936809798,0.013753636312950243,0.016163683808420946,0.11927286816699492,0.10147082679932949,1.9737008395269764,0.780403395879522,0.022504923961124922,4,1.4862820422672391,-0.2460944288047693
1117,BKTI,45,2015,0.026388501609673248,0.02989661114302125,0.008793295063150512,0.00962942236096914,0.12155978736289616,0.11734137747471418,1.5537076392877656,0.6056173794012523,0.03663952627683197,4,1.28068199745603,-0.1694988841977292
1117,BKTI,45,2016,0.0632051523128996,0.07516632190976687,0.01841590985683595,0.022735135233543185,0.08133914656039773,0.15912937194434,1.8223793816738412,0.5501363294471606,0.02750103572767267,4,1.3750328168018155,0.13150773920258485
1117,BKTI,45,2017,-0.08471764678395365,-0.11328771831161934,0.07700778799632123,0.09837515285040564,0.1269196598553116,0.2521903693838929,1.5141875214796763,0.6231630102100418,0.015941109277827135,4,0.9560463644872323,-0.077588796141699
1117,BKTI,45,2018,-0.004975632160445,-0.007036662817551964,0.07403666069394793,0.09448239939043973,0.1573106520858647,0.2928988798448623,1.734537384526559,0.5351483759026306,0.028270554880518425,4,0.8980991246397794,-0.041514813284847706
1117,BKTI,45,2019,-0.06947812335266211,-0.11324969926104142,0.04233124012009516,0.06133310328253684,0.2444638403990025,0.3865050079072219,1.6777238357106032,0.382445967316816,0.061221945137157105,4,0.41326642267072544,-0.3912130999989929
1117,BKTI,45,2020,0.006615097359295812,0.011010477712662049,0.0409981597536619,0.06714102071188147,0.17827771358662406,0.3991997866097626,1.6831557449831291,0.40397439317151235,0.021432293436643327,4,0.7158886293652165,0.13620662042467635
1117,BKTI,45,2021,-0.033760047633224176,-0.052149120117726405,0.0380703548372076,0.062132931621485796,0.1808262058019575,0.3526247891237472,1.2449506407505058,0.5008236578346731,0.053258090115510096,4,0.77395363007806,-0.19148340030758076
1117,BKTI,45,2022,-0.2382249344692005,-0.5777501862428606,0.131264798192937,0.3232348823305127,0.18849482836450707,0.5876679226736566,2.8004420163893715,0.27127703145478377,0.03434672528507782,4,-0.03993724745801328,-0.22106842765458398
1117,BKTI,45,2023,-0.045134391191709845,-0.10464079583313782,0.11490519537386151,0.289495063868439,0.12597511269468514,0.5686730893782384,2.052658251607151,0.3397020725388601,0.02857181418198505,4,0.4646655694940661,0.3259029299921974
1161,AMD,45,2002,-0.23188646174593772,-0.5281200033235182,0.20149198299212026,0.42238659574559145,0.3025974136726005,0.5609208886490754,0.9020720919722852,0.11524793381811337,0.2276238621581665,4,-0.6096741486097471,-1.372970934042801
