,Ticker,GIC_Sector
330,VEEE,25
331,GLBE,25
332,GENI,25
333,FIGS,25
334,GSUN,25
335,DIBS,25
336,RERE,25
337,MCW,25
338,BARK,25
339,SHCO,25
340,BODI,25
341,DUOL,25
342,CURV,25
343,EVGO,25
344,HLLY,25
345,XPOF,25
346,VSCO,25
347,COOK,25
348,FFAI,25
349,VIPZ,25
350,LCID,25
351,SBET,25
352,EWCZ,25
353,SRAD,25
354,ONON,25
355,BROS,25
356,AKA,25
357,WRBY,25
358,PNST,25
359,TKLF,25
360,BIRD,25
361,BRLT,25
362,FWRG,25
363,LTH,25
364,NRDY,25
365,PTLO,25
366,RIVN,25
367,UDMY,25
368,RENT,25
369,ARHS,25
370,DTC,25
371,LVLU,25
372,KLC,25
373,SG,25
374,HOUR,25
375,ECDA,25
376,DTLIF,25
377,MULN,25
378,SVV,25
379,YOSH,25
380,JFBR,25
381,GV,25
382,AIEV,25
383,SVUHF,25
384,GCT,25
385,JUNE,25
386,NXUR,25
387,MBLY,25
388,FTEL,25
389,RYET,25
390,LRE,25
391,QSG,25
392,HSAI,25
393,GDHG,25
394,RLEA,25
395,TRNR,25
396,CTNT,25
397,CAVA,25
398,PHIN,25
399,GENK,25
400,AZI,25
401,SN,25
402,LGCB,25
403,BIRK,25
404,RAY,25
405,PMNT,25
406,JL,25
407,ZK,25
408,MMA,25
409,SDHC,25
410,ROLR,25
411,AS,25
412,FLYE,25
413,MAMO,25
414,SERV,25
415,VIK,25
416,NTCL,25
417,AGH,25
418,ZSPC,25
419,WRD,25
420,YSXT,25
421,PC,25
422,LGCY,25
423,PHH,25
424,BRIA,25
425,TWNP,25
426,PLAY,25
427,DIT,25
428,RICK,25
429,POOL,25
430,JAKK,25
431,STRA,25
432,GES,25
433,CSV,25
434,QEPC,25
435,ANF,25
436,5952B,25
437,BJRI,25
438,PAG,25
439,LAD,25
440,MTN,25
441,KMX,25
442,ALV,25
443,AMZN,25
444,RL,25
445,BFAM,25
446,PETS,25
447,YUM,25
448,PLCE,25
449,TFRFF,25
450,SRI,25
451,CHH,25
452,GPI,25
453,SAH,25
454,CTHR,25
455,LIVE,25
456,PRDO,25
457,PSO,25
458,CTTAY,25
459,SHCAY,25
460,VWAGY,25
461,KGFHY,25
462,STLA,25
463,VLEEY,25
464,NCLH,25
465,COLM,25
466,HZO,25
467,GIL,25
468,RH,25
469,EBAY,25
470,SWBI,25
471,SNBR,25
472,GDEN,25
473,AXL,25
474,APTV,25
475,BKNG,25
476,SKX,25
477,HOFT,25
478,FLWS,25
479,9807B,25
480,EXPE,25
481,DNUT,25
482,VC,25
483,TPR,25
484,GRMN,25
485,BWTL,25
486,MPX,25
487,ABG,25
488,BGFV,25
489,GME,25
490,STRR,25
491,WW,25
492,AAP,25
493,DSHK,25
494,BYON,25
495,KIRK,25
496,RRGB,25
497,WYNN,25
498,CAAS,25
499,DKS,25
500,CRI,25
501,MBPFY,25
502,PRKA,25
503,LKQ,25
504,CONNQ,25
505,UTI,25
506,SGI,25
507,TCOM,25
508,DPZ,25
509,TXRH,25
510,BBW,25
511,LVS,25
512,XPEL,25
513,ZUMZ,25
514,CTRN,25
515,LINC,25
516,EVRI,25
517,CPS,25
518,KAVL,25
519,LEAT,25
520,IRBT,25
521,QSR,25
522,CROX,25
523,UAA,25
524,CMG,25
525,FUNI,25
526,VIPS,25
527,ASPU,25
528,BLMN,25
529,FIVE,25
530,QVCGA,25
531,TNL,25
532,HBI,25
533,EDU,25
534,SBH,25
535,MLCO,25
536,PRTS,25
537,ADD,25
538,LULU,25
539,MELI,25
540,ULTA,25
541,APEI,25
542,LRN,25
543,LOPE,25
544,H,25
545,HTHT,25
546,CRCT,25
547,NVFY,25
548,WKHS,25
549,TSLA,25
550,VRA,25
551,AMBO,25
552,MMYT,25
553,CLAR,25
554,TAL,25
555,PRKS,25
556,ARCO,25
557,ARMK,25
558,GRPN,25
559,TLYS,25
560,VAC,25
561,CPRI,25
562,NPSNY,25
563,DELTF,25
564,FLUT,25
565,IGT,25
566,TPH,25
567,FRSX,25
568,ARKO,25
569,GAN,25
570,JTKWY,25
571,LOGC,25
572,ABT,35
573,AMS,35
574,AMGN,35
575,BAX,35
576,BDX,35
577,BIO,35
578,NIMU,35
579,BMY,35
580,CI,35
581,CAH,35
582,CHE,35
583,IMNN,35
584,COO,35
585,GTBP,35
586,DHR,35
587,DYNT,35
588,RVTY,35
589,ENZN,35
590,ENZB,35
591,LSTA,35
592,FONR,35
593,GSK,35
594,JNJ,35
595,KENS,35
596,KEQU,35
597,LLY,35
598,MCK,35
599,MDT,35
600,CVS,35
601,MRK,35
602,MLAB,35
603,QDEL,35
604,VTRS,35
605,BMRA,35
606,NHC,35
607,THC,35
608,NVO,35
609,OMI,35
610,PFE,35
611,PHG,35
612,PVCT,35
613,SCND,35
614,STAA,35
615,SYK,35
616,SSY,35
617,TFX,35
618,TMO,35
619,VNRX,35
620,UNH,35
621,UHS,35
622,UTMD,35
623,WST,35
624,PPCB,35
625,RGEN,35
626,XOMA,35
627,PDEX,35
628,EHC,35
629,CVM,35
630,ABEO,35
631,ANIX,35
632,APYX,35
633,CATX,35
634,ICAD,35
635,OSUR,35
636,RDNT,35
637,LADX,35
638,ICCC,35
639,KRMD,35
640,SNGX,35
641,CNMD,35
642,XRAY,35
643,ZTS,35
644,PMDI,35
645,HRTX,35
646,RGLS,35
647,TEVA,35
648,LH,35
649,CSBR,35
650,VASO,35
651,VODG,35
652,TECH,35
653,ABBV,35
654,ENTA,35
655,NEOG,35
656,HRGN,35
657,PRTA,35
658,TVTX,35
659,GCTK,35
660,HURA,35
661,BLFS,35
662,DRIO,35
663,STME,35
664,CMRX,35
665,RZLT,35
666,ADMA,35
667,EKSO,35
668,IQV,35
669,BLUE,35
670,AGIO,35
671,ESPR,35
672,TRAW,35
673,EVOK,35
674,ANIP,35
675,PGEN,35
676,LPCN,35
677,LGMK,35
678,FATE,35
679,PINC,35
680,MGNX,35
681,ACAN,35
682,VEEV,35
683,COSM,35
684,GLYC,35
685,AMRX,35
686,TNDM,35
687,KPTI,35
688,XNCR,35
689,VCYT,35
690,ZEOX,35
691,RARE,35
692,TVRD,35
693,SMLR,35
694,CAPR,35
695,INGN,35
696,ITCI,35
697,MEDXF,35
698,CARM,35
699,COCP,35
700,BIVI,35
701,NGNE,35
702,GLMD,35
703,AKBA,35
704,MDWD,35
705,MEDP,35
706,ALDX,35
707,SCYX,35
708,PETV,35
709,PAHC,35
710,CCLD,35
711,NERV,35
712,TBPH,35
713,ELTX,35
714,NAOV,35
715,ARDX,35
716,SNDX,35
717,AMPH,35
718,RLMD,35
719,HQY,35
720,SLNO,35
721,HOLX,35
722,SAGE,35
723,IRMD,35
724,HSDT,35
725,LNTH,35
726,ATRA,35
727,OCUL,35
728,ADVM,35
729,VKTX,35
730,LFWD,35
731,AXDX,35
732,KPRX,35
733,AVNS,35
734,VANI,35
735,VYNE,35
736,PRQR,35
737,RYTM,35
738,AIFF,35
739,XENE,35
740,MMSI,35
741,CTXR,35
742,CHRS,35
743,MRMD,35
744,FGEN,35
745,NVRO,35
746,PYPD,35
747,CRBP,35
748,JYNT,35
749,SKYE,35
750,HCA,35
751,BCTX,35
752,TLRY,35
753,BZYR,35
754,INDV,35
755,CRON,35
756,PVLA,35
757,ASND,35
758,VERU,35
759,EPIX,35
760,XBIT,35
761,ZVRA,35
762,CDTX,35
763,BPMC,35
764,OPRX,35
765,CPMD,35
766,COLL,35
767,ADAP,35
768,SMTI,35
769,ATYR,35
770,PAVM,35
771,CYH,35
772,CCEL,35
773,REGN,35
774,EVH,35
775,ATXS,35
776,GKOS,35
777,HAE,35
778,IONS,35
779,NTRA,35
780,MCRB,35
781,IDXX,35
782,CRVL,35
783,TDOC,35
784,PROF,35
785,ALKS,35
786,VRTX,35
787,BIIB,35
788,PULM,35
789,VTVT,35
790,BCDA,35
791,SYRE,35
792,ALTS,35
793,PRGO,35
794,POCI,35
795,GILD,35
796,GOVX,35
797,LCTX,35
798,ICUI,35
799,BSX,35
800,STE,35
801,USPH,35
802,LFMD,35
803,RHHBY,35
804,ESMC,35
805,APTOF,35
806,PDCO,35
807,SGRY,35
808,ACRS,35
809,LGND,35
810,GYRE,35
811,KURA,35
812,CTMX,35
813,NVCR,35
814,RGNX,35
815,PEN,35
816,AVTX,35
817,ANAB,35
818,WVE,35
819,VYGR,35
820,AXSM,35
821,ARTL,35
822,APLS,35
823,ONC,35
824,MRUS,35
825,XGN,35
826,BBLG,35
827,SENS,35
828,OCX,35
829,CLSD,35
830,CRVO,35
831,OTLK,35
832,TCMD,35
833,MBRX,35
834,EDIT,35
835,BTCY,35
836,CRVS,35
837,SRTS,35
838,PTIX,35
839,NTLA,35
840,ZOMDF,35
841,PLSE,35
842,APVO,35
843,RNAC,35
844,ACIU,35
845,KIDS,35
846,BVS,35
847,PTGX,35
848,ENTO,35
849,MDGL,35
850,CAPS,35
851,LIVN,35
852,AORT,35
853,HUM,35
854,TENX,35
855,AEMD,35
856,FLGT,35
857,AMRN,35
858,ITHUF,35
859,CRSP,35
860,ANIK,35
861,AZN,35
862,SNES,35
863,IRTC,35
864,OFIX,35
865,ARWR,35
866,VREX,35
867,CKPT,35
868,PTN,35
869,INCY,35
870,NSTM,35
871,BYSI,35
872,KALV,35
873,MBOT,35
874,NDRA,35
875,UFPT,35
876,THTX,35
877,BCRX,35
878,LPTX,35
879,BHC,35
880,NKTR,35
881,VRDN,35
882,TARO,35
883,AMED,35
884,ZYME,35
885,URGN,35
886,PRTG,35
887,OVID,35
888,SVRA,35
889,ALT,35
890,ELDN,35
891,NVOS,35
892,PRPH,35
893,AZTA,35
894,CODX,35
895,MRSN,35
896,RNTX,35
897,COR,35
898,MYO,35
899,ATXI,35
900,RMD,35
901,NTRB,35
902,KALA,35
903,PRPO,35
904,CBUS,35
905,DARE,35
906,NMTC,35
907,GNPX,35
908,ACHV,35
909,JAGX,35
910,ZLAB,35
911,MBIO,35
912,KRYS,35
913,CELC,35
914,SYBX,35
915,NCNA,35
916,ADIL,35
917,NVNO,35
918,OPTN,35
919,SPRO,35
920,SCPH,35
921,IFRX,35
922,CUE,35
923,ARCT,35
924,TSNDF,35
925,ENTX,35
926,DNLI,35
927,QTRX,35
928,ASTH,35
929,PCSA,35
930,VMD,35
931,SXTC,35
932,SLDB,35
933,SLS,35
934,RCKT,35
935,EOLS,35
936,BTAI,35
937,EVFM,35
938,VXRT,35
939,RCUS,35
940,RENB,35
941,HLTRF,35
942,QTTB,35
943,UBX,35
944,INSP,35
945,SRRK,35
946,KNSA,35
947,ITRM,35
948,XAIR,35
949,XRTX,35
950,XCUR,35
951,DNTH,35
952,MGTX,35
953,VRCA,35
954,ECOR,35
955,KZR,35
956,AUTL,35
957,TECX,35
958,XERS,35
959,GTBIF,35
960,STIM,35
961,REPL,35
962,ALLK,35
963,CRNX,35
964,AQST,35
965,BNGO,35
966,ESTA,35
967,PLNH,35
968,LQDA,35
969,VTAK,35
970,ELAN,35
971,ETON,35
972,BLTE,35
973,STRO,35
974,ARVN,35
975,INMB,35
976,GH,35
977,CWBHF,35
978,KOD,35
979,YMAB,35
980,ATPC,35
981,ALLO,35
982,EQ,35
983,SIBN,35
984,TCNNF,35
985,TWST,35
986,PROK,35
987,CURLF,35
988,MRNA,35
989,SER,35
990,GRUSF,35
991,CRLBF,35
992,ARDT,35
993,ORGO,35
994,HOTH,35
995,GOSS,35
996,ALEC,35
997,YCBD,35
998,NXGL,35
999,CYCN,35
1000,WORX,35
1001,DTIL,35
1002,XFOR,35
1003,PDSB,35
1004,HOOK,35
1005,TRVI,35
1006,ALC,35
1007,TMDX,35
1008,AVTR,35
1009,NXTC,35
1010,APLT,35
1011,MIST,35
1012,QNCX,35
1013,CBSTF,35
1014,ATLN,35
1015,IDYA,35
1016,BCYC,35
1017,AYRWF,35
1018,PSNL,35
1019,STOK,35
1020,BBIO,35
1021,AKRO,35
1022,ADPT,35
1023,EDSA,35
1024,JUSHF,35
1025,MIRM,35
1026,FULC,35
1027,PHR,35
1028,HCAT,35
1029,CSTL,35
1030,CNSP,35
1031,ANVS,35
1032,INBS,35
1033,RAPT,35
1034,EMMA,35
1035,SLRX,35
1036,NVST,35
1037,OPCH,35
1038,INMD,35
1039,SWTX,35
1040,VIR,35
1041,IGMS,35
1042,TXG,35
1043,PNTG,35
1044,KRRO,35
1045,APRE,35
1046,ADCT,35
1047,BNTX,35
1048,MNPR,35
1049,PGNY,35
1050,OCGN,35
1051,BEAM,35
1052,CABA,35
