gvkey,Data Date,fyear,Industry Format,Level of Consolidation - Company Annual Descriptor,Population Source,Data Format,tic,ISO Currency Code,act,at,capx,ceq,ebit,lct,lt,ni,re,sale,xrd,xsga,Active/Inactive Status Marker,mkvalt,GIC Sectors,wcap,ROA,ROE,RD_Sales,Debt_Assets,Market_Book,WC_TA,RE_TA,ROA_vol,ROE_vol,cluster,pca_1,pca_2
27939,2014-04-30,2013,INDL,C,D,STD,TENX,USD,58.966,93.429,0.01,82.885,-16.612,2.571,10.544,-19.542,-136.586,0.289,2.997,,A,135.947,35,56.395,-0.20916417814597182,-0.23577245581227002,10.370242214532873,0.1128557514262167,1.6401882125837002,0.6036134390820838,-1.4619229575399502,1.8756389351759768,22.938644902238984,5,0.8708628442424882,-1.0061829250274215
27939,2015-04-30,2014,INDL,C,D,STD,TENX,USD,17.511,82.908,0.004,70.429,-13.782,4.517,12.479,-14.082,-150.641,0.049,6.66,13.683,A,96.1704,35,12.994,-0.16985091909104066,-0.1999460449530733,127.4,0.1505162348627394,1.3654943276207243,0.15672793940271143,-1.8169657934095622,1.5997088937452575,3.1816663384482116,2,0.6168789128911655,-0.9579370610779641
27939,2015-12-31,2015,INDL,C,D,STD,TENX,USD,20.56,72.987,,60.423,-14.544,4.602,12.564,-15.055,-160.865,0.049,8.394,14.526,A,92.2336,35,15.957999999999998,-0.2062696096565142,-0.24916008804594275,127.4,0.17214024415306836,1.5264650877976929,0.21864167591488895,-2.2040226341677287,0.021909784293582212,0.025445308830791862,2,-0.44850187641694966,-0.5334616014884971
27983,2014-03-31,2013,INDL,C,D,STD,AEMD,USD,1.479,1.695,0.096,-14.948,-3.055,15.649,16.425,-13.357,-74.833,1.624,1.509,,A,42.97,35,-14.169999999999998,-4.071553768429736,0.8935643564356435,0.9291871921182264,5.016533637400228,-2.8746320578003743,-3.3541927409261576,-44.14926253687315,1.086100067947434,0.2012215965079068,1,7.2096369135616545,0.15264335352774203
27983,2015-03-31,2014,INDL,C,D,STD,AEMD,USD,1.204,1.381,0.0,0.615,-3.993,0.574,0.73,-6.797,-81.63,0.762,1.028,,A,75.5574,35,0.63,-4.071553768429736,-6.816419064892113,1.3490813648293964,0.5286024619840695,33.719624776302155,0.4561911658218682,-59.10934105720492,2.4773596514661693,6.795649067970866,5,3.568627976911505,-6.335877041007057
27983,2016-03-31,2015,INDL,C,D,STD,AEMD,USD,2.404,2.557,0.009,1.553,-4.385,0.527,1.055,-4.872,-86.502,0.887,0.782,,A,40.8539,35,1.8769999999999998,-1.90535784122018,-3.1371538956857696,0.8816234498308907,0.4125928822839265,26.306439150032197,0.7340633554947203,-33.82948768087603,2.987485988184965,6.077133068764653,5,2.2159518364683084,-3.925371646421471
27983,2017-03-31,2016,INDL,C,D,STD,AEMD,USD,1.597,1.726,0.016,0.676,-6.099,0.612,1.131,-7.276,-93.778,0.392,0.673,,A,28.7284,35,0.985,-4.071553768429736,-6.816419064892113,1.7168367346938775,0.6552723059096176,33.719624776302155,0.570683661645423,-54.33256083429896,1.5776879634434968,4.488633315245073,5,2.795233068966367,-6.014612155959592
27983,2018-03-31,2017,INDL,C,D,STD,AEMD,USD,7.23,7.352,0.025,6.134,-4.831,0.478,1.319,-5.68,-99.458,0.15,0.586,,A,21.1106,35,6.752000000000001,-0.7725788900979325,-0.925986305836322,3.9066666666666667,0.1794069640914037,3.4415715683077925,0.8885823711585162,-13.528019586507073,1.7547062448833208,5.161081646471567,3,0.6708172273173688,-0.8552825968826601
28209,2012-12-31,2012,INDL,C,D,STD,ANIK,USD,77.384,142.069,1.505,108.925,22.253,14.453,33.144,11.757,43.355,71.359,5.388,20.117,A,137.828,35,62.931,0.08275556243797029,0.10793665366077576,0.07550554239829595,0.23329508900604637,1.2653477163185678,0.4429608148153362,0.3051686152503361,0.02485377200292677,0.02921855798094991,0,-1.0351878946278559,0.5973478108859088
28209,2013-12-31,2013,INDL,C,D,STD,ANIK,USD,94.592,156.042,0.441,135.634,32.32,9.283,20.408,20.575,64.885,75.081,7.06,19.996,A,545.2682,35,85.309,0.1318555260763128,0.15169500272792957,0.09403177901200037,0.13078530139321465,4.020143916717047,0.5467053741941272,0.41581753630432833,0.03514908273970305,0.032008547445673746,0,-1.2064073859531865,0.4203868850857041
28209,2014-12-31,2014,INDL,C,D,STD,ANIK,USD,139.025,193.996,1.553,178.097,61.447,5.973,15.899,38.319,100.409,105.595,8.144,23.218,A,605.0705,35,133.052,0.19752469123074703,0.21515803185904311,0.07712486386666036,0.08195529804738241,3.397421068294244,0.6858491927668611,0.5175828367595208,0.057583560450907484,0.05391161458398881,0,-1.3043210558375093,0.484316298263499
28209,2015-12-31,2015,INDL,C,D,STD,ANIK,USD,176.433,235.748,9.225,210.848,48.831,17.278,24.9,30.758,129.013,92.999,8.987,23.115,A,573.8119,35,159.155,0.1304698237100633,0.14587759902868416,0.09663544769298595,0.10562125659602627,2.721448152223403,0.6751064696201029,0.5472496055109694,0.038320392050327126,0.03842997229910191,0,-1.2602595124118587,0.49926714598134164
28209,2016-12-31,2016,INDL,C,D,STD,ANIK,USD,170.44,240.246,14.014,222.773,50.607,8.799,17.473,32.547,160.892,103.379,10.732,28.745,A,716.1379,35,161.641,0.1354736395194925,0.1460993926553038,0.10381218622737692,0.07272961880738908,3.21465303245905,0.6728145317716007,0.6696968940169659,0.03735355058836204,0.039935204215176136,0,-1.2900594424323566,0.46649097022693253
28209,2017-12-31,2017,INDL,C,D,STD,ANIK,USD,206.327,282.617,8.98,263.491,45.729,13.073,19.126,31.816,194.727,113.42,18.787,40.327,A,791.8301,35,193.254,0.11257638429393843,0.12074795723573102,0.16564098042673248,0.06988589853155153,3.0051504605470396,0.6838017529023377,0.6890137535958558,0.012038117541497015,0.014573053711603667,0,-1.3002534602164726,0.4727993427231881
28380,2012-12-31,2012,INDL,C,D,STD,OFIX,USD,340.444,504.281,27.994,399.098,94.083,68.797,105.183,51.295,151.053,462.32,28.577,279.647,A,760.6029,35,271.64700000000005,0.10171908122653837,0.1285273291271818,0.06181216473438311,0.20858013686813504,1.905804839914006,0.5386818063738273,0.29954132715688275,0.05332632201972901,0.08199896440213629,0,-1.0969398587842407,0.5488796894115563
28380,2013-12-31,2013,INDL,C,D,STD,OFIX,USD,265.106,411.975,24.787,295.863,25.554,70.35,116.112,-28.812,77.4,397.611,26.768,262.458,A,413.0876,35,194.756,-0.06993628254141634,-0.09738291033349895,0.06732208112954621,0.28184234480247583,1.3962124361613315,0.4727374233873414,0.1878754778809394,0.08641589248661985,0.11348523069724112,0,-0.9271167250879375,0.4648908978707898
28380,2014-12-31,2014,INDL,C,D,STD,OFIX,USD,256.408,393.185,18.069,299.627,32.75,66.443,93.558,-8.537,64.978,402.277,24.994,268.331,A,559.4467,35,189.96500000000003,-0.021712425448580187,-0.0284920918341805,0.062131317475272015,0.23794905705965386,1.8671438154772433,0.4831440670422321,0.16526062794867555,0.08853101259192452,0.11578462745238796,0,-0.9780717505519847,0.4643064431940795
28380,2015-12-31,2015,INDL,C,D,STD,OFIX,USD,212.252,400.222,27.197,290.311,25.664,81.988,109.911,-2.809,56.319,396.489,26.389,284.3,A,731.6586,35,130.264,-0.007018604674405705,-0.00967583040256828,0.06655670144695061,0.2746250830788912,2.520257930288553,0.32547935895577956,0.14071940073259342,0.032914239446453296,0.04617453922848872,0,-0.9342492743493707,0.45463084870963755
28380,2016-12-31,2016,INDL,C,D,STD,OFIX,USD,194.373,372.103,16.432,263.477,35.887,83.441,108.626,3.056,57.599,409.788,28.803,286.048,A,645.017,35,110.93199999999999,0.008212779794841751,0.011598735373486112,0.07028756332542681,0.2919245477730628,2.44809603874342,0.29812175661040086,0.15479316210834096,0.014963407313924896,0.02005797127252827,0,-0.9292001508123159,0.47769209312194866
