ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
RGEN,GICS_35,CAPM,0.01919861072805963,1.2626117133382753,,,
AVAN,GICS_35,CAPM,0.02452735580786582,2.2970865679317902,,,
ADPT,GICS_35,CAPM,-0.021074401590276667,1.503841840138999,,,
AVM,GICS_35,CAPM,0.049808847363224204,0.8889526801870188,,,
KOOL,GICS_35,CAPM,-0.008535120835246948,1.156244696982032,,,
CELG,GICS_35,CAPM,0.01973840146700307,0.8836177962110596,,,
LH,GICS_35,CAPM,0.009512996023385935,0.6085138793606204,,,
AMGN,GICS_35,CAPM,0.00374414456144809,0.5876735071057382,,,
SNSTA,GICS_35,CAPM,0.023499518642922556,0.5584925166059049,,,
CVS,GICS_35,CAPM,0.0016584680702605406,0.6553256953317248,,,
BMY,GICS_35,CAPM,0.0009307616300821914,0.5045597680483868,,,
ABT,GICS_35,CAPM,0.005679409643438931,0.4825920545737976,,,
CAH,GICS_35,CAPM,0.00443357819402955,0.6439894465482094,,,
PFE,GICS_35,CAPM,-0.00042374909403294784,0.5494603937290478,,,
JNJ,GICS_35,CAPM,0.0031534515830556435,0.4151800624083013,,,
MRK,GICS_35,CAPM,0.0029090572903585866,0.409841309223424,,,
CHRS,GICS_35,CAPM,0.003504542914481419,1.851402979379884,,,
BAX,GICS_35,CAPM,0.0012894670778076166,0.5460532430771731,,,
ELN,GICS_35,CAPM,0.016848150299169373,1.2907763276560476,,,
BDX,GICS_35,CAPM,0.005669664329463855,0.5228327768567229,,,
HCSG,GICS_35,CAPM,0.00945201550606224,0.3566887255803117,,,
DHR,GICS_35,CAPM,0.0069506835033544215,0.8379733192201861,,,
LLY,GICS_35,CAPM,0.009221097826665317,0.4221277729827132,,,
AFL,GICS_35,CAPM,0.005230013562604166,0.9741175976103922,,,
MDT,GICS_35,CAPM,0.0005948656454775262,0.662524089688936,,,
WST,GICS_35,CAPM,0.010209284756754854,0.8318631742128078,,,
COO,GICS_35,CAPM,0.009218826207541941,0.6823173258371789,,,
STAA,GICS_35,CAPM,0.012806018301320832,1.3443035973713098,,,
ABMD,GICS_35,CAPM,0.016855614866271296,1.2286021370730975,,,
AGN,GICS_35,CAPM,0.006694924321422132,0.6971244071158624,,,
IMGN,GICS_35,CAPM,0.019510956950981467,1.8595711633695513,,,
QDEL,GICS_35,CAPM,0.010739142712947894,0.8476313811508858,,,
REGN,GICS_35,CAPM,0.024221285351317616,1.1435662717533748,,,
IDXX,GICS_35,CAPM,0.013183899268953901,0.925008151247843,,,
ALKS,GICS_35,CAPM,0.00794168265996753,1.1886973414641373,,,
VRTX,GICS_35,CAPM,0.01391869869176015,0.909947053965062,,,
IDPH,GICS_35,CAPM,0.023889016515409024,0.9291614617686259,,,
PRGO,GICS_35,CAPM,0.0038782887317005406,0.6551275299040944,,,
GILD,GICS_35,CAPM,0.013407358151931384,0.6450305805021102,,,
SCLN,GICS_35,CAPM,0.013118253681396897,1.8620129183942566,,,
RARE,GICS_35,CAPM,0.009326014243484306,0.873938064035636,,,
WPI,GICS_35,CAPM,0.007219085541157213,0.4512321926267263,,,
ZONA,GICS_35,CAPM,0.03991942230180199,1.8029260786639154,,,
AZN,GICS_35,CAPM,0.004787349407166026,0.4598364112539472,,,
INCY,GICS_35,CAPM,0.007612307724410693,1.5152667431115654,,,
NSTK,GICS_35,CAPM,0.010488513791237549,1.8322281614894453,,,
RMD,GICS_35,CAPM,0.012213613234178113,0.6699803999917524,,,
MYGN,GICS_35,CAPM,0.006280619310427062,1.2442876445683924,,,
IPXL,GICS_35,CAPM,0.017255707733420392,1.1247142432457025,,,
NBIX,GICS_35,CAPM,0.012726660167797395,0.7510651713427483,,,
QGENF,GICS_35,CAPM,0.013159225672800503,2.1547795457872874,,,
CERS,GICS_35,CAPM,-0.0035686674390467236,1.7447268309751083,,,
EPIX,GICS_35,CAPM,-0.0062547091823590235,2.099877093044904,,,
CTIC,GICS_35,CAPM,0.004978096472346929,2.713226951625549,,,
AVII,GICS_35,CAPM,0.013321905431645052,1.3867607228136618,,,
ADSK,GICS_35,CAPM,0.008053527297834907,1.6073358865034728,,,
DMI,GICS_35,CAPM,0.027277217755344633,0.6647458583751987,,,
SHPGY,GICS_35,CAPM,0.010075084029733006,0.8726654513462297,,,
HCM,GICS_35,CAPM,0.00571117937356244,0.3547575442712788,,,
ICPT,GICS_35,CAPM,0.024244378953587616,0.9304443837538711,,,
CNC,GICS_35,CAPM,0.0013122507298065232,1.0780931398580047,,,
UTHR,GICS_35,CAPM,0.013433900736114168,0.6420637655895565,,,
BMRN,GICS_35,CAPM,0.007404104732118539,1.0435031468500124,,,
A,GICS_35,CAPM,-0.0008242398463447567,1.5334822339313834,,,
UNH,GICS_35,CAPM,0.012871165956868862,0.5780727076599073,,,
HCA,GICS_35,CAPM,0.00924627258528184,0.8310381806515327,,,
EXEL,GICS_35,CAPM,0.005909550983964837,1.6774182863871667,,,
NVS,GICS_35,CAPM,0.003802828032170166,0.40106732022892405,,,
CRL,GICS_35,CAPM,0.004429163817514215,0.9899673371024984,,,
INSM,GICS_35,CAPM,0.018340421493134675,1.61009331901094,,,
ARNA,GICS_35,CAPM,0.010250487757214228,0.9861557033044507,,,
DPII,GICS_35,CAPM,0.0020041884867410768,2.6090044819144858,,,
ILMN,GICS_35,CAPM,0.009524121270980365,1.3565433874104447,,,
PTIE,GICS_35,CAPM,-0.002171331476253566,1.3645318544059062,,,
ESPR,GICS_35,CAPM,0.013501032842678735,1.1739441452827024,,,
